"Store","Date","Weekly_Sales","IsHoliday","Type","WeekNum","Size"
"1",2010-02-05,1643690.9,FALSE,"A","6",151315
"1",2010-02-12,1641957.44,TRUE,"A","7",151315
"1",2010-02-19,1613694.17,FALSE,"A","8",151315
"1",2010-02-26,1409727.59,FALSE,"A","9",151315
"1",2010-03-05,1554806.68,FALSE,"A","10",151315
"1",2010-03-12,1440937.59,FALSE,"A","11",151315
"1",2010-03-19,1472515.79,FALSE,"A","12",151315
"1",2010-03-26,1404429.92,FALSE,"A","13",151315
"1",2010-04-02,1594968.28,FALSE,"A","14",151315
"1",2010-04-09,1545418.53,FALSE,"A","15",151315
"1",2010-04-16,1466058.28,FALSE,"A","16",151315
"1",2010-04-23,1391256.12,FALSE,"A","17",151315
"1",2010-04-30,1425100.71,FALSE,"A","18",151315
"1",2010-05-07,1603955.12,FALSE,"A","19",151315
"1",2010-05-14,1494251.5,FALSE,"A","20",151315
"1",2010-05-21,1399662.07,FALSE,"A","21",151315
"1",2010-05-28,1432069.95,FALSE,"A","22",151315
"1",2010-06-04,1615524.71,FALSE,"A","23",151315
"1",2010-06-11,1542561.09,FALSE,"A","24",151315
"1",2010-06-18,1503284.06,FALSE,"A","25",151315
"1",2010-06-25,1422711.6,FALSE,"A","26",151315
"1",2010-07-02,1492418.14,FALSE,"A","27",151315
"1",2010-07-09,1546074.18,FALSE,"A","28",151315
"1",2010-07-16,1448938.92,FALSE,"A","29",151315
"1",2010-07-23,1385065.2,FALSE,"A","30",151315
"1",2010-07-30,1371986.6,FALSE,"A","31",151315
"1",2010-08-06,1605491.78,FALSE,"A","32",151315
"1",2010-08-13,1508237.76,FALSE,"A","33",151315
"1",2010-08-20,1513080.49,FALSE,"A","34",151315
"1",2010-08-27,1449142.92,FALSE,"A","35",151315
"1",2010-09-03,1540163.53,FALSE,"A","36",151315
"1",2010-09-10,1507460.69,TRUE,"A","37",151315
"1",2010-09-17,1430378.67,FALSE,"A","38",151315
"1",2010-09-24,1351791.03,FALSE,"A","39",151315
"1",2010-10-01,1453329.5,FALSE,"A","40",151315
"1",2010-10-08,1508355.93,FALSE,"A","41",151315
"1",2010-10-15,1459409.1,FALSE,"A","42",151315
"1",2010-10-22,1345454,FALSE,"A","43",151315
"1",2010-10-29,1384209.22,FALSE,"A","44",151315
"1",2010-11-05,1551659.28,FALSE,"A","45",151315
"1",2010-11-12,1494479.49,FALSE,"A","46",151315
"1",2010-11-19,1483784.18,FALSE,"A","47",151315
"1",2010-11-26,1955624.11,TRUE,"A","48",151315
"1",2010-12-03,1548033.78,FALSE,"A","49",151315
"1",2010-12-10,1682614.26,FALSE,"A","50",151315
"1",2010-12-17,1891034.93,FALSE,"A","51",151315
"1",2010-12-24,2387950.2,FALSE,"A","52",151315
"1",2010-12-31,1367320.01,TRUE,"A","1",151315
"1",2011-01-07,1444732.28,FALSE,"A","2",151315
"1",2011-01-14,1391013.96,FALSE,"A","3",151315
"1",2011-01-21,1327505.42,FALSE,"A","4",151315
"1",2011-01-28,1316899.31,FALSE,"A","5",151315
"1",2011-02-04,1606629.58,FALSE,"A","6",151315
"1",2011-02-11,1649614.93,TRUE,"A","7",151315
"1",2011-02-18,1686842.78,FALSE,"A","8",151315
"1",2011-02-25,1456800.28,FALSE,"A","9",151315
"1",2011-03-04,1636263.41,FALSE,"A","10",151315
"1",2011-03-11,1553191.63,FALSE,"A","11",151315
"1",2011-03-18,1576818.06,FALSE,"A","12",151315
"1",2011-03-25,1541102.38,FALSE,"A","13",151315
"1",2011-04-01,1495064.75,FALSE,"A","14",151315
"1",2011-04-08,1614855.35,FALSE,"A","15",151315
"1",2011-04-15,1559889,FALSE,"A","16",151315
"1",2011-04-22,1564819.81,FALSE,"A","17",151315
"1",2011-04-29,1455090.69,FALSE,"A","18",151315
"1",2011-05-06,1629391.28,FALSE,"A","19",151315
"1",2011-05-13,1604775.58,FALSE,"A","20",151315
"1",2011-05-20,1428248.27,FALSE,"A","21",151315
"1",2011-05-27,1466046.67,FALSE,"A","22",151315
"1",2011-06-03,1635078.41,FALSE,"A","23",151315
"1",2011-06-10,1588948.32,FALSE,"A","24",151315
"1",2011-06-17,1532114.86,FALSE,"A","25",151315
"1",2011-06-24,1438830.15,FALSE,"A","26",151315
"1",2011-07-01,1488538.09,FALSE,"A","27",151315
"1",2011-07-08,1535245.64,FALSE,"A","28",151315
"1",2011-07-15,1455119.97,FALSE,"A","29",151315
"1",2011-07-22,1396926.82,FALSE,"A","30",151315
"1",2011-07-29,1352219.79,FALSE,"A","31",151315
"1",2011-08-05,1624383.75,FALSE,"A","32",151315
"1",2011-08-12,1525147.09,FALSE,"A","33",151315
"1",2011-08-19,1530761.43,FALSE,"A","34",151315
"1",2011-08-26,1464693.46,FALSE,"A","35",151315
"1",2011-09-02,1550229.22,FALSE,"A","36",151315
"1",2011-09-09,1540471.24,TRUE,"A","37",151315
"1",2011-09-16,1514259.78,FALSE,"A","38",151315
"1",2011-09-23,1380020.27,FALSE,"A","39",151315
"1",2011-09-30,1394561.83,FALSE,"A","40",151315
"1",2011-10-07,1630989.95,FALSE,"A","41",151315
"1",2011-10-14,1494521.93,FALSE,"A","42",151315
"1",2011-10-21,1502562.78,FALSE,"A","43",151315
"1",2011-10-28,1445249.09,FALSE,"A","44",151315
"1",2011-11-04,1697229.58,FALSE,"A","45",151315
"1",2011-11-11,1594938.89,FALSE,"A","46",151315
"1",2011-11-18,1539483.7,FALSE,"A","47",151315
"1",2011-11-25,2033320.66,TRUE,"A","48",151315
"1",2011-12-02,1584083.95,FALSE,"A","49",151315
"1",2011-12-09,1799682.38,FALSE,"A","50",151315
"1",2011-12-16,1881176.67,FALSE,"A","51",151315
"1",2011-12-23,2271184.99,FALSE,"A","52",151315
"1",2011-12-30,1497462.72,TRUE,"A","1",151315
"1",2012-01-06,1550369.92,FALSE,"A","2",151315
"1",2012-01-13,1459601.17,FALSE,"A","3",151315
"1",2012-01-20,1394393.84,FALSE,"A","4",151315
"1",2012-01-27,1319325.59,FALSE,"A","5",151315
